Реестр инновационных проектов,,,,,,,
Номер,Название проекта,Описание проекта,Информация о заявителе инновационного предложения,,,Функциональный заказчик,Текущий статус
754,Разработка Saas-сервиса для запуска и управления онлайн-продажами с сайтов туристических компаний на платформе TripAġġregator,,ООО N889267,Морозов М.Б.,8(508)-332-30-89,н/о     ,2.Работа с проектом приостановлена
755,Разработка и запуск автоматизированной информационно-аналитической системы бронирования туристических услуг «Поехали 24»,,ООО N442084,Кемаев К.Х.,8(176)-695-20-87,н/о     ,2.Работа с проектом приостановлена
756,Проектирование линейки отечественного высокотехнологичного  трубогибочного оборудования высокой точности,,ООО N898652,Егоров Ш.П.,8(583)-818-14-49,н/о     ,2.Работа с проектом приостановлена
757,"Способ иммуномодулирующей, регенеративной и обще метаболической криотерапии для лечения заболеваний",,ООО N231778,Никулин С.К.,8(751)-698-62-61,н/о     ,2.Работа с проектом приостановлена
758,Разработка устройства аутентификации и беспроводной зарядки носимых устройств с высоким КПД и ускоренным процессом заряда,,ООО N723225,Николаев О.К.,8(910)-214-49-20,н/о     ,2.Работа с проектом приостановлена
759,Разработка и вывод на рынок  эко композита с повышенными прочностными характеристиками,,ООО N774425,Морозов Т.Х.,8(343)-367-69-98,н/о     ,2.Работа с проектом приостановлена
760,Развитие технической и технологической основ становления информационного общества Самарской области,,ООО N327583,Семенов К.Л.,8(897)-839-51-69,н/о     ,2.Работа с проектом приостановлена
761,Разработка on-line сервиса контроля защищенности информационных систем,,ООО N650373,Павлов И.Э.,8(227)-360-79-93,н/о     ,2.Работа с проектом приостановлена
762,Создание центра по внедрению технологии нанесения наноструктурных износостойких PVD-покрытий на поверхность режущего и формообразующего инструмента для повышения его производительности и долговечности,,ООО N795465,Павлов Т.О.,8(913)-531-51-43,н/о     ,2.Работа с проектом приостановлена
763,"Разработка и реализация прецизионных инструментов, сверла со сменной головкой из жаростойкой стали",,ООО N33417,Смирнов С.М.,8(858)-397-11-55,ДРП     ,2.Работа с проектом приостановлена
764,Организация участка по выращиванию микро зелени,,ООО N767326,Павлов С.Ф.,8(645)-637-37-45,н/о     ,2.Работа с проектом приостановлена
765,Применение углеродных нанотрубок в производстве фенольных плёнок,,ООО N853065,Барских Р.К.,8(780)-512-69-17,н/о     ,2.Работа с проектом приостановлена
766,"Доработка и совершенствование технологии производства пеностекла с помощью жидких реагентов, обеспечивающих модификацию поверхности стеклянных гранул",,ООО N677751,Кемаев А.Д.,8(424)-479-34-48,н/о     ,2.Работа с проектом приостановлена
767,Разработка ортезов на голеностопный сустав с увеличенным временем носки для реабилитации при нейро-ортопедических патологиях опорно-двигательного аппарата,,ООО N113327,Николаев В.К.,8(662)-321-45-13,н/о     ,2.Работа с проектом приостановлена
768,"Разработка, реализация и адаптация систем курсовой устойчивости ESP для легковых автомобилей отечественного производства",,ООО N347875,Петров Ю.С.,8(719)-177-72-95,н/о     ,2.Работа с проектом приостановлена
769,Разработка и производство очищающих химических составов для подготовки металлических изделий к окраске или консервации,,ООО N927361,Лебедев К.Г.,8(837)-366-83-22,н/о     ,2.Работа с проектом приостановлена
770,Разработка и внедрение технологии нанесения на поверхность металлического изделия антикоррозионного защитного наноразмерного слоя,,ООО N48034,Алексеев Х.Л.,8(128)-382-83-76,н/о     ,2.Работа с проектом приостановлена
771,"Разработка программно-аппаратного комплекса (ИнБио – IT) для контроля угловых отклонений стоматологического инструмента, снижающего риски послеоперационных осложнений к минимуму и увеличивающего точность установки стоматологического импланта",,ООО N143903,Петров Ф.Ф.,8(642)-528-73-97,н/о     ,2.Работа с проектом приостановлена
772,Создание системы комплексного управления производственным бизнесом для малых и средних предприятий,,ООО N882646,Никулин Ш.Т.,8(121)-929-71-47,н/о     ,2.Работа с проектом приостановлена
773,"Разработка и производство уникального комплекса безреагентного обеззараживания жидких сред, оснащенного автоматической системой управления параметрами обработки в зависимости от уровня загрязнения обеззараживаемой среды",,ООО N712864,Нечаев Х.Б.,8(309)-773-17-66,н/о     ,2.Работа с проектом приостановлена
774,Создание регионального центра по повышению и оценке профессионального мастерства по компетенции «Облицовка плиткой» на основе программ ускоренного обучения собственной разработки в соответствии со стандартам WorldSkills,,ООО N573732,Евсеев Г.О.,8(677)-267-42-16,н/о     ,2.Работа с проектом приостановлена
775,"Разработка многопрофильного испытательного оборудования для продукции тяжелой промышленности, а также проведение испытаний продукции (компонентов) для машиностроительной, автомобильной, нефтехимической, топливной и других отраслей тяжелой промышленности",,ООО N831661,Петров С.Ш.,8(984)-622-49-24,н/о     ,2.Работа с проектом приостановлена
776,Разработка и внедрение инновационной методики комплексной коррекции нарушений функции нервно-мышечного аппарата,,ООО N920406,Смирнов С.С.,8(424)-569-16-63,н/о     ,2.Работа с проектом приостановлена
777,Организация производства тканевых компенсаторов для ответственных участков оборудования с высокими температурами,,ООО N339401,Козлов Т.Э.,8(234)-158-43-54,н/о     ,2.Работа с проектом приостановлена
778,Создание центра прецизионной металлообработки с возможностью проектирования и изготовления высокоточных деталей сложной конфигурации,,ООО N796610,Козлов К.Б.,8(645)-946-99-60,н/о     ,2.Работа с проектом приостановлена
779,Разработка и создание унифицированной мультиплатформенной системы управления любой базой данных для высоконагруженных систем,,ООО N667257,Васильев Л.Б.,8(257)-851-33-73,н/о     ,2.Работа с проектом приостановлена
780,Создание R&D – центра по предоставлению услуг в сфере разработки и производства сложной оснастки в различных отраслях промышленности ,,ООО N563422,Николаев Л.Т.,8(455)-915-96-65,н/о     ,2.Работа с проектом приостановлена
781,Создание вендингового аппарата с применением платформы «New Smart Wending» для реализации продуктов и услуг в рамках концепции «Умный город»,,ООО N915845,Нечаев Т.Д.,8(348)-609-16-34,н/о     ,2.Работа с проектом приостановлена
782,Разработка и вывод на рынок программно-аппаратного комплекса для внутригородских пассажирских перевозок с использованием технологии Блокчейн,,ООО N944896,Новиков Ф.Ю.,8(478)-254-64-39,НТЭ     ,2.Работа с проектом приостановлена
783,Разработка технологии строительства быстровозводимых зданий и сооружений с применением инновационных решений в сфере энергосбережения и «Умного дома»,,ООО N617951,Пилюков Л.Р.,8(297)-302-96-92,ДЭЗ     ,2.Работа с проектом приостановлена
784,"Разработка, создание и эксплуатация инновационной взаимосвязанной гибридной системы прудового хозяйства и гидропоники ",,ООО N532344,Волков Б.К.,8(344)-564-39-41,н/о     ,2.Работа с проектом приостановлена
785,Аппаратно-программный комплекс для оптимизации тренировочного процесса в различных видах спорта ,,ООО N703281,Ахмедшафин Х.Ш.,8(936)-332-74-88,н/о     ,2.Работа с проектом приостановлена
786,Система для нейромышечной реабилитации с биологической обратной связью ,,ООО N869939,Павлов О.Ю.,8(488)-137-38-75,н/о     ,2.Работа с проектом приостановлена
787,"Программное обеспечение для управления контентом, разработанное с учетом индивидуального дизайна (для использования людьми с ограниченными возможностями) специально для работы на больших сенсорных дисплеях с применением машинного зрения",,ООО N827050,Николаев Н.Х.,8(370)-517-29-21,н/о     ,2.Работа с проектом приостановлена
788,Разработка программного образовательного комплекса кибертренинга на основе технологии виртуальной реальности (VR) с использованием принципов геймификации,,ООО N111434,Алексеев И.С.,8(949)-941-36-59,ДИ     ,2.Работа с проектом приостановлена
789,Разработка и производство индивидуального носимого устройства для изучения иностранных языков «LangWatch» (ЛэнгВотч),,ООО N131748,Михайлов С.А.,8(422)-450-41-96,н/о     ,2.Работа с проектом приостановлена
790,Разработка и внедрение технологического комплекса по переработке стоков промышленных предприятий,,ООО N239429,Фомин Ш.Д.,8(985)-221-55-63,ДТВ     ,2.Работа с проектом приостановлена
791,"Разработка, производство косметической продукции на основе собственных уникальных запатентованных технологий",,ООО N230952,Михайлов Б.Т.,8(885)-923-12-11,н/о     ,2.Работа с проектом приостановлена
792,Разработка и вывод на рынок эндоваскулярной системы для удаления атеросклеротических бляшек из артерий нижних конечностей,,ООО N349191,Ахмедшафин Ш.Э.,8(150)-454-42-98,н/о     ,2.Работа с проектом приостановлена
793,"Обучающая программа ""Порядок проведения комиссионного месячного осмотра.
Инструкция по проведению проверки изолирующего стыка».",,ООО N242705,Кемаев К.Э.,8(691)-600-15-90,Ш     ,2.Работа с проектом приостановлена
794,Применение технологии дополненной реальности в обучении персонала,,ООО N373627,Морозов С.С.,8(988)-830-35-19,НТЭ     ,2.Работа с проектом приостановлена
795,"Система непрерывного 
контроля температуры контактных соединений
""ТермоСенсор""",Система позволяет обнаруживать перегрев контактных соединений и электропроводки,ООО N166158,Павлов Ф.И.,8(444)-753-50-74,НТЭ     ,2.Работа с проектом приостановлена
796,Видеомониторинг проведения работ на пути,Обеспечение безопасности работников ОАО «РЖД» при производстве работ по смене стрелочного перевода с использованием системы видеомониторинга с элементами компьютерного зрения и искусственного интеллекта,ООО N48082,Федоров Н.С.,8(298)-546-86-60,ДРП     ,2.Работа с проектом приостановлена
797,"Разработка ""умного"" заградительного устройства переезда . Организация безлюдной технологии охраны переезда.
Включение заградительной сигнализации при наличии препятствия",,ООО N129884,Иванов Д.Э.,8(760)-721-47-63,П     ,2.Работа с проектом приостановлена
798,"Мессенджер для постановки и контроля исполнения поручений 
",,ООО N737250,Семенов Г.Р.,8(712)-934-68-92,НД     ,2.Работа с проектом приостановлена
799,Получение электрической энергии во время движения железнодорожного состава,Получение электрической энергии за счет изменения магнитной проницаемости при прохождении колесной пары подвижного состава по рельсам,ООО N419585,Васильев С.В.,8(736)-471-83-47,НТЭ     ,2.Работа с проектом приостановлена
800,Коммерческий осмотр вагонов,,ООО N291764,Алексеев Л.Э.,8(339)-999-84-59,КТЦФТО     ,2.Работа с проектом приостановлена
801,"Внедрение светодиодных ламп на маршрутные указатели М17-23, М25-34, М35-48 ст. Пенза-3 ПОП проект 16439 ",,ООО N43940,Никулин Г.К.,8(804)-259-62-59,Ш     ,2.Работа с проектом приостановлена
802,"Внедрение светодиодных ламп на маршрутные указатели М17-23, М25-34, М35-48 ст. Пенза-3 ПОП проект 16439 ",Проводится установка светодиодных ламп на маршрутные указатели в соответствии с графиком,ООО N109668,Новиков Ф.В.,8(891)-367-56-34,В     ,2.Работа с проектом приостановлена
803,"КБШ НТЭ ""Цифровая тяговая подстанция"" ",,ООО N566501,Алексеев Э.Х.,8(752)-887-61-75,НТЭ     ,2.Работа с проектом приостановлена
804,"Система определения дислокации и оповещения работников  при выполнении работ по содержанию инфраструктуры.
",,ООО N862495,Евсеев А.П.,8(688)-386-52-39,ДИ     ,2.Работа с проектом приостановлена
805,"
Система аналитики и передачи на борт подвижного состава информации о ситуации на переездах",,ООО N200274,Михайлов С.Ф.,8(226)-274-52-73,П     ,2.Работа с проектом приостановлена
806,"Проект: «Повышение уровня безопасности движения поездов и снижение аварийности за счет человеческого фактора с помощью организации непрерывного контроля состояния здоровья работников, задействованных в ключевых процессах перевозок и технического обеспечения деятельности железнодорожного транспорта»",,ООО N819195,Смирнов Л.К.,8(887)-718-73-29,Т     ,2.Работа с проектом приостановлена
807,Проект: «Внедрение на тяговом подвижном составе алгоритмов интеллектуальной системы управления путем выбора оптимально необходимого количества ТЭД на тягу поездов в зависимости от условий эксплуатации и веса поезда»,,ООО N991064,Соколов К.А.,8(960)-989-38-70,Т     ,2.Работа с проектом приостановлена
808,"Проект: « Платформа для автоматизации и интернета вещей. Просмотр оперативных данных, статистики и состояния объектов инфраструктуры в реальном времени прямо на видеоизображении при аварийно-восстановительных работах»",,ООО N101556,Павлов К.Д.,8(247)-770-73-73,П     ,2.Работа с проектом приостановлена
809,"«Онлайн-сервис для мониторинга приборов учета энергоресурсов. Система дистанционного оперативного учета потребления электроэнергии инфра-структуры, в том числе автоматический съем данных о потребленной электроэнергии с каждого электропоезда. Обеспечение подключения любых счетчиков энергоресурсов, «облачное» хранение данных, мониторинг с любого устройства»",,ООО N171076,Нечаев Т.Д.,8(862)-782-97-41,НТЭ     ,2.Работа с проектом приостановлена
810,«Разработка аппаратно-программных комплексов для автоматической расшифровки данных получаемых со средств неразрушающего контроля рельсов»,,ООО N889868,Смирнов А.Д.,8(353)-436-45-85,П     ,2.Работа с проектом приостановлена
811,"«Разработка информационно-аналитической системы комплексной диагностики и мониторинга железнодорожной инфраструктуры, которая позволяла бы производить сбор данных, их синхронизацию, интеграцию и анализ, и имела прогнозно-аналитические функции для формирования рекомендаций по ведению технического обслуживания инфраструктуры (в т.ч., ремонтов) на заданный период времени»",,ООО N694257,Пилюков Э.Н.,8(273)-552-30-94,РЦДМ     ,2.Работа с проектом приостановлена
812,«Применение предсказательной аналитики и интеллектуального анализа данных состояний оборудования и систем»,,ООО N667706,Васильев Д.Б.,8(743)-136-46-87,П     ,2.Работа с проектом приостановлена
813,"«Разработка автоматизированных систем планирования работы локомотивных бригад, развитие систем автоматической расшифровки параметров движения локомотива по данным электронных устройств безопасности движения»",,ООО N560258,Алексеев Т.К.,8(887)-836-88-40,Т     ,2.Работа с проектом приостановлена
814,"«Разработка программного модуля для проведения статистического анализа бизнес-процессов по индикаторам качественных характеристик, который позволял бы автоматизировать процесс анализа»",,ООО N325761,Семенов К.Ю.,8(788)-667-87-77,НТЭ     ,2.Работа с проектом приостановлена
815,«Разработка системы распознавания видеообразов на основе работы камеры видеофиксации дефектов пути на вагоне дефектоскопе»,,ООО N562099,Морозов Р.Э.,8(114)-450-13-48,КТЦФТО     ,2.Работа с проектом приостановлена
816,"«Разработка объектно-ориентированной базы данных, алгоритмов и методов интегральных оценок результатов измерений, полученных от различных средств мобильной диагностики с целью повышения достоверности прогнозирования состояния объектов инфраструктуры»",,ООО N131445,Смирнов Ш.С.,8(561)-119-68-87,РЦДМ     ,2.Работа с проектом приостановлена
817,«Решение вопроса о точной геолокации подвижного состава»,,ООО N620809,Петров Ш.В.,8(445)-935-36-36,КТЦФТО     ,2.Работа с проектом приостановлена
818,Проект: «Создание интеллектуальных вокзальных комплексов»,,ООО N65947,Неманов Э.С.,8(384)-700-72-83,РДЖВ     ,2.Работа с проектом приостановлена
819,"Проект: «Технологии улучшения качества обслуживания пассажиров в пригородном сообщении, внедрение технологии продажи билетов через операторов сото-вой связи, непосредственно в электропоездах»",,ООО N190287,Степанов Н.М.,8(287)-446-24-78,КБШ ФПК     ,2.Работа с проектом приостановлена
820,Проект: «Разработка программного комплекса автоматизированной расшифровки дефектограмм»,,ООО N507506,Нечаев М.Ф.,8(921)-518-49-67,РЦДМ     ,2.Работа с проектом приостановлена
821,"Проект: «Создание онлайн-платформы и сервис-приложений на мобильные устройства (под управлением IOS, Android), которые позволят в автоматическом режиме совершать операции по заказу, приобретению и доставке спецодежды и средств индивидуальной защиты работнику при внесении в систему его данных при устройстве на работу (должность, номенклатура, сроки носки, размеры)»",,ООО N122467,Кемаев П.К.,8(851)-693-91-22,н/о     ,2.Работа с проектом приостановлена
822,"Проект: «Внедрение дистанционный тех-нологий и средств мониторинга состояния здоровья работников (устройства считывания физиологических параметров, с возможностью передачи данных мониторинга и видео для визуальной оценки состояния)»",,ООО N648584,Евсеев М.В.,8(232)-373-41-20,н/о     ,2.Работа с проектом приостановлена
823,"Проект: «Разработка высокоскоростной  сенсорной сети, обеспечивающей возможность взаимодействия подвижных объектов,  эстафетную передачу данных на скорости не менее 1 Мб/сек и потоковое шифрование трафика» ",,ООО N105614,Васильев Э.О.,8(742)-256-38-73,СИВЦ     ,2.Работа с проектом приостановлена
824,Проект: «Система диагностики локомотивов»,,ООО N924428,Федоров Н.Л.,8(298)-617-96-15,Т     ,2.Работа с проектом приостановлена
825,Проект: «Разработка систем генерации электроэнергии с использованием дренажных вод тоннелей»,,ООО N326196,Соколов В.О.,8(824)-451-74-31,ДТВ     ,2.Работа с проектом приостановлена
826,"Апробация токопроводящей краски на водной основе (стрелочный перевод, электропривод)",Проводящая краска на водной основе для равномерного обогрева поверхностей,ООО N863779,Смирнов В.Х.,8(570)-563-77-94,Ш     ,2.Работа с проектом приостановлена
827,Проект: «Малогабаритный переносной прибор для размагничивания рельсов в зоне изостков»,,ООО N330327,Николаев В.Т.,8(948)-659-58-21,П     ,2.Работа с проектом приостановлена
828,Проект: «Прибор сигнализатор»,"Прототип системы, способной заранее оповещать работников и ремонтных бригад о приближения подвижного состава",ООО N139194,Семенов М.К.,8(162)-914-16-27,РЦДМ     ,2.Работа с проектом приостановлена
829,Проект: «3D симулятор»,Создание объекта виртуальной или дополненной реальности для повышения безопасности движения и повышения качества обучения персонала ,ООО N335490,Иванов П.Х.,8(673)-737-54-31,н/о     ,2.Работа с проектом приостановлена
830,Проект: Автономная система прогрева тепловоза,,ООО N130103,Козлов Э.Л.,8(310)-393-51-68,Т     ,2.Работа с проектом приостановлена
831,Проект: «Очистка и обеззараживание воды»,,ООО N511561,Иванов Д.Х.,8(144)-134-77-97,ДТВ     ,2.Работа с проектом приостановлена
832,Проект: «Технологическое обеспечение повышения долговечности деталей ма-шин и технологического оборудования электромеханической обработкой (ЭМО)»,,ООО N802835,Фомин С.И.,8(120)-560-90-30,ДМВ     ,2.Работа с проектом приостановлена
833,Проект: «Модернизированная ЦПГ»,,ООО N359022,Кузнецов Д.П.,8(568)-308-31-49,ДМВ     ,2.Работа с проектом приостановлена
834,Проект: «Система питания дизеля для работы на растительно-минеральном топливе»,,ООО N571111,Нечаев И.С.,8(577)-634-25-19,Т     ,2.Работа с проектом приостановлена
835,Проект:  Разработка комплексной системы передачи онлайн - данных с подвижных и стационарных объектов инфраструктуры Куйбышевской железной дороги;,,ООО N919484,Пилюков Р.О.,8(736)-391-76-59,СИВЦ     ,2.Работа с проектом приостановлена
836,"Проект:  Разработка автоматизированной системы, позволяющей осуществлять контроль в онлайн режиме плотности прилегания остряка к рамному рельсу",,ООО N371027,Пилюков Ф.Ф.,8(824)-967-51-61,н/о     ,2.Работа с проектом приостановлена
837,Проект: «Тепловая обработка сыпучих материалов»,,ООО N276456,Фомин Х.Б.,8(776)-803-96-30,н/о     ,2.Работа с проектом приостановлена
838,Проект: «Автономный комплекс генерации и аккумуляции тепловой энергии»,,ООО N55653,Козлов Л.П.,8(313)-160-87-28,ДЭЗ     ,2.Работа с проектом приостановлена
839,Мониторинг персонала на местности или в здании,,ООО N62251,Федоров Х.Л.,8(267)-710-50-21,ДМВ     ,2.Работа с проектом приостановлена
840,Интеллектуальная система управления зданием,"Упрвление зданием, постоянный мониторинг всех систем безопасности, контроль потребления электрической энергии, открытие/закрытие дверей и окон. Умный дом для офиса",ООО N938666,Барских Э.Э.,8(820)-806-24-67,РДЖВ     ,2.Работа с проектом приостановлена
841,Система генерации электрической энергии от механического воздействия подвижного состава ,Устройство позволяющее извлекать электрическую энергию при проходе подвижного состава за счет пьезоэлементов,ООО N865323,Нечаев К.М.,8(845)-500-59-95,П     ,2.Работа с проектом приостановлена
842,Утилизация бытовых и промышленных отходов,"Утилизационные  плазменные энергетические установки (УПЭУ), предназначены для автономной утилизации отходов жизнедеятельности человека, переработки промышленных и бытовых отходов, утилизации химически вредных и радиоактивных отходов. В процессе работы УПЭУ производит выброс чистого кислорода и азота.",ООО N749847,Федоров Б.Ю.,8(199)-167-65-20,РДЖВ     ,2.Работа с проектом приостановлена
843,Разработка тяговых плазменных электрических генераторов для электровозов. Разработка тяговых плазменных электрических генераторов для тяговых подстанций ЖД,"Модульные плазменные электрические генераторы MPEG-2P – 01 V1.0 серии TL-XX тяговые для наземного транспорта,  в качестве тягового электрического генератора и сопрягаются с различными тяговыми преобразователями в качестве источника питания  электровозов, а так же для использования в качестве тягового генератора взамен дизельных на тепловозах",ООО N507039,Попов С.Б.,8(914)-554-48-78,НТЭ     ,2.Работа с проектом приостановлена
844,Разработка комплексной стационарной системы контроля подвижного состава,,ООО N568453,Никулин Р.Ш.,8(991)-340-84-88,В     ,2.Работа с проектом приостановлена
845,ИИ для чертежей,Автоматизация процесса разработки чертежей,ООО N908053,Семенов М.С.,8(792)-929-17-46,КТЦФТО     ,2.Работа с проектом приостановлена
846,Эффективная система подачи в дизельный двигатель топлива ,,ООО N258981,Николаев Х.Х.,8(717)-541-79-68,н/о     ,2.Работа с проектом приостановлена
847,Цифровая мобильная радиоабонетская система диспетчерской связи,Цифровая мобильная радио абонентская система диспетчерской связи или сокращенно ЦМ РАС ДС предназначена для организации кодированной радиосвязи на фиксированных каналах с последующим преобразованием в аналоговый или цифровой канал радиосвязи. ,ООО N444185,Семенов Р.О.,8(140)-787-22-69,НС     ,2.Работа с проектом приостановлена
848,Разработка виброизоляционного эластомерного материала,"Создание уникального продукта - подрельсовой прокладки, сохраняющей свои амортизирующие свойства в северных условиях эксплуатации.",ООО N835427,Иванов С.Ю.,8(475)-917-77-41,ДРП     ,2.Работа с проектом приостановлена
849,Комплексная система автоматизации станционного хозяйства и подвижного состава (КСАСХиПС),"1. Стационарная система контроля станционного хозяйства.
Система двухсторонний и конференц связи
Система передачи данных на станции по беспроводному каналу
Дистанционная диагностика технических средств хозяйства грузовой и коммерческой работы
Система контроля отставания остряка от рамного рельса на 2/4 мм и прочие задачи контроля станционного хозяйства
2. Мобильная система контроля локомотива. 3. Мобильная система контроля подвижного состава",ООО N57615,Фомин К.К.,8(754)-673-21-82,н/о     ,2.Работа с проектом приостановлена
850,Система контроля  - управления динамического освещения улично-дорожной сети.,"Система контроля-управления динамического освещения улично-дорожной сети относится к автономной системе децентрализованного управления уличными светильниками в реальном масштабе времени и наличием обратной связи с диспетчерским пунктом или мобильным устройством ремонтников для регистрации и оперативного и оповещения о возникшей поломке или сбое оборудования, задействованного в инфраструктуре улично-дорожного освещения с локализацией на карте местности зарегистрированного события",ООО N358956,Пилюков П.Ю.,8(149)-755-77-35,ДПО     ,2.Работа с проектом приостановлена
851,"Автоматизация химикотехнических и экологических лабораторий ОАО ""РЖД"" с помощью лабораторной информационной системы ""ЛинтеЛ ЛИС""","Для автоматизации процессов сбора, обработки, накопления, хранения и отображения информации, получаемой в результате проведения лабораторных испытаний, определяющих качество сырья, основных и вспомогательных материалов, продуктов установок (в том числе полуфабрикатов) и готовой продукции.
Для автоматизации прочих процессов подразделений контроля качества, обеспечивающих выполнение лабораторных испытаний.
Для интеграции информации о качестве в единое информационное пространство предприятия.",ООО N499024,Пилюков Э.О.,8(983)-772-27-47,ХТЛ     ,2.Работа с проектом приостановлена
852,Протеже,"«Протеже» — электронные наряды-допуски и бланки переключений, оценка рисков планируемых работ, статистика эффективности сотрудника и интерактивная карта объекта с работами в одном приложении, включая возможность взаимодействия с промышленным интернетом вещей (взаимодействие с умными касками, трекерами здоровья, NFC, RFID и тд)",ООО N887655,Барских В.К.,8(477)-146-17-23,ДКРЭ     ,2.Работа с проектом приостановлена
853,Цифровая аналитическая система ,"Организация производства новых видов продукции для   мониторинга и диагностики динамического оборудования (двигателей и редукторов тепловозов, компрессоров, машин и механизмов используемых в РЖД) : датчика скорости износа, экспресс-анализатора нефтепродуктов, вискозиметра, универсального индикатора для выявления дефектов  на ранней стадии",ООО N692592,Новиков Р.С.,8(221)-884-47-86,ДПМ     ,2.Работа с проектом приостановлена
854,Робот для ввода документов Lexema-SR,"Робот-бухгалтер Lexema-SR автоматически создает в учетной системе первичный документ с заполненными реквизитами на основании электронной информации, полученной средствами электронного документооборота или распознанного скан-образа бумажного документа, и проводит с документа проводки.",ООО N314067,Николаев А.Р.,8(257)-805-37-91,н/о     ,2.Работа с проектом приостановлена
855,Установки физико-химической очистки промышленных стоков и питьевой воды RENEWALL,Физико-химическая очистка питьевой воды и промышленных стоков,ООО N159962,Ахмедшафин Д.И.,8(457)-532-67-65,ТР     ,2.Работа с проектом приостановлена
856,Информационная система управления нештатными ситуациями,"Комплексное решение, обеспечивающее информационную поддержку процессов выявления, расследования и устранения нештатных ситуаций (НС). Предназначена для автоматизации диспетчерских и функциональных подразделений всех уровней организационной структуры компании, обеспечивающих эксплуатацию различных объектов инфраструктуры любой отрасли.",ООО N314697,Барских К.Э.,8(802)-827-27-34,ДАВС     ,2.Работа с проектом приостановлена
